lowetaedge,relerror
0,0.0271300448430493
0.01,0.018609865470852
0.2,0.0196860986547085
0.3,0.0202242152466368
0.43,0.0326008968609865
0.44,0.0214798206278027
0.6,0.0219282511210762
0.79,0.0332286995515695
0.8,0.0252466367713004
0.9,0.0299103139013453
1.14,0.0378923766816143
1.3,0.0395964125560538
1.479,0
1.57,0.049372197309417
1.65,0.0473991031390135
1.8,0.0448878923766816
1.95,0.0415695067264574
2.1,0.0422869955156951
2.35,0.0471300448430493
2.5,0
