gamma,xsec
0.1,0.000443121
5.5,0.000642844
6.0,0.000473024
6.5,0.000383693
7.5,0.000662493
8.0,0.000721541
8.5,0.00063238
9.0,0.00056627
9.5,0.000559837
10.0,0.000328608
20.0,0.000735656
30.0,0.000497088
40.0,0.00028413
50.0,0.000504987
1.0,0.000981263
1.5,0.00097964
2.0,0.00073541
2.5,0.000825593
3.0,0.000375167
4.0,0.000632068
4.5,0.000573854
0.5,0.000532902
3.5,0.00063306
5.0,0.000770653
7.0,0.000379368
